,city,train_len,train_RMSE,test_RMSE,class
0,StGallen_Stuelegg,12.0,2.6224984207482396,3.0774023222337585,no traffic
0,Zuerich_Schimmelstrasse,12.0,6.605635904856608,7.8728335711524275,low traffic
0,Zuerich_Stampfenbachstrasse,12.0,6.381218454367467,8.851633747451839,low traffic
0,Opfikon_Balsberg,18.0,7.040169543188878,7.83465869414691,high traffic
0,StGallen_Blumenbergplatz,18.0,7.916272515698572,7.86471540494042,low traffic
0,StGallen_Stuelegg,18.0,3.0712548893009073,3.02516398453026,no traffic
0,Zuerich_Schimmelstrasse,18.0,6.984578369565478,7.70373677520014,low traffic
0,Zuerich_Stampfenbachstrasse,18.0,7.152291136856837,8.939846041689275,low traffic
0,Opfikon_Balsberg,24.0,6.860867201862218,7.618907368054883,high traffic
0,StGallen_Blumenbergplatz,24.0,7.650317684335709,6.989077910418081,low traffic
0,StGallen_Stuelegg,24.0,2.887919923921536,2.8496357445698948,no traffic
0,Zuerich_Schimmelstrasse,24.0,7.081859956773436,9.291909771249582,low traffic
0,Zuerich_Stampfenbachstrasse,24.0,6.89921098936543,9.739221591398517,low traffic
0,Opfikon_Balsberg,3.0,8.355261340571982,9.0394543792942,high traffic
0,StGallen_Blumenbergplatz,3.0,8.545783006822806,13.237612374261428,low traffic
0,StGallen_Stuelegg,3.0,3.015365232185963,2.133977180701374,no traffic
0,Zuerich_Schimmelstrasse,3.0,4.802073169890663,6.806727454713439,low traffic
0,Zuerich_Stampfenbachstrasse,3.0,5.3744688410388655,8.471857307482466,low traffic
0,Opfikon_Balsberg,6.0,7.325386013590053,8.350760037426626,high traffic
0,StGallen_Blumenbergplatz,6.0,8.237187717009181,12.22880489313921,low traffic
0,StGallen_Stuelegg,6.0,2.968167877223552,1.983161559987329,no traffic
0,Zuerich_Schimmelstrasse,6.0,6.844553771998595,10.263602483468958,low traffic
0,Zuerich_Stampfenbachstrasse,6.0,6.623222594529017,7.964199248331461,low traffic
0,Opfikon_Balsberg,9.0,6.824360437792628,8.1480967291236,high traffic
0,StGallen_Blumenbergplatz,9.0,8.55954002286479,9.758559739296588,low traffic
0,StGallen_Stuelegg,9.0,2.789804101711793,1.6554370705784462,no traffic
0,Zuerich_Schimmelstrasse,9.0,6.472171389983996,10.088194025096357,low traffic
0,Zuerich_Stampfenbachstrasse,9.0,6.600488928108395,7.858849500960277,low traffic
0,Opfikon_Balsberg,12.0,6.665697833162362,7.313079631702569,high traffic
0,StGallen_Blumenbergplatz,12.0,8.04952301591724,8.29649306852098,low traffic
0,StGallen_Stuelegg,12.0,2.5995482339586595,1.5466280902104903,no traffic
0,Zuerich_Schimmelstrasse,12.0,6.503089378487175,6.127213181597272,low traffic
0,Zuerich_Stampfenbachstrasse,12.0,6.42361601018374,7.921229346765189,low traffic
0,Opfikon_Balsberg,18.0,7.118771469694739,7.7051222944679285,high traffic
0,StGallen_Blumenbergplatz,18.0,7.930208679545211,8.017602018127896,low traffic
0,StGallen_Stuelegg,18.0,3.086920967265873,1.6801311120676363,no traffic
0,Zuerich_Schimmelstrasse,18.0,6.942213024989438,6.123864333730208,low traffic
0,Zuerich_Stampfenbachstrasse,18.0,7.064187811938609,7.819943482553384,low traffic
0,Opfikon_Balsberg,24.0,6.848596633818022,6.775931684152819,high traffic
0,StGallen_Blumenbergplatz,24.0,7.653028716235923,7.675895225098493,low traffic
0,StGallen_Stuelegg,24.0,2.8663859432605303,1.669028139370587,no traffic
0,Zuerich_Schimmelstrasse,24.0,7.064477904755096,5.933392907949493,low traffic
0,Zuerich_Stampfenbachstrasse,24.0,6.8895924068608805,7.5815325117674375,low traffic
0,Opfikon_Balsberg,3.0,6.725049507671205,11.810734539782514,high traffic
0,StGallen_Blumenbergplatz,3.0,5.523555617116398,16.03303729265794,low traffic
0,StGallen_Stuelegg,3.0,1.84178018470994,1.9426919858144245,no traffic
0,Zuerich_Schimmelstrasse,3.0,4.805730377593873,6.220469826153232,low traffic
0,Zuerich_Stampfenbachstrasse,3.0,5.8307117915199544,6.913219567712025,low traffic
0,Opfikon_Balsberg,6.0,7.18688383593897,8.563831894627175,high traffic
0,StGallen_Blumenbergplatz,6.0,8.646463810795563,14.128921461352292,low traffic
0,StGallen_Stuelegg,6.0,2.5568742826186086,4.455605843764652,no traffic
0,Zuerich_Schimmelstrasse,6.0,6.761799166673004,7.002693946005135,low traffic
0,Zuerich_Stampfenbachstrasse,6.0,7.031982853729665,4.862213122426443,low traffic
0,Opfikon_Balsberg,9.0,7.05354228446331,6.87391951928934,high traffic
0,StGallen_Blumenbergplatz,9.0,8.839331271468655,6.2525434056757145,low traffic
0,StGallen_Stuelegg,9.0,2.828321217364031,4.060175487043832,no traffic
0,Zuerich_Schimmelstrasse,9.0,6.548909907752232,6.594721312098846,low traffic
0,Zuerich_Stampfenbachstrasse,9.0,7.052092509983542,5.084297853500008,low traffic
0,Opfikon_Balsberg,12.0,6.737064556146076,6.242776674162192,high traffic
