,no2,city,pre_lockdown_model,dummy,lockdown_model,weekday,class,year
2016-05-31,36.04818181818182,Opfikon_Balsberg,31.819426391937924,30.27555313158789,22.741975281099972,1,high traffic,2016
2016-06-01,42.44041666666667,Opfikon_Balsberg,39.15944895208822,36.59386183293493,29.13577380667965,2,high traffic,2016
2016-06-02,34.54583333333333,Opfikon_Balsberg,38.53862582955153,35.30342875836302,29.7186449864082,3,high traffic,2016
2016-06-03,42.33095238095238,Opfikon_Balsberg,36.36239636868478,33.166615772973614,24.991060263983513,4,high traffic,2016
2016-06-04,34.635,Opfikon_Balsberg,33.61728268809465,35.82459062768514,24.154205785371218,5,high traffic,2016
2016-06-05,28.73708333333333,Opfikon_Balsberg,27.318262266374415,32.71892777910155,18.46216305381312,6,high traffic,2016
2016-06-06,25.047916666666666,Opfikon_Balsberg,32.93718611396426,32.93718611396426,21.960737864846287,0,high traffic,2016
2016-06-07,39.1,Opfikon_Balsberg,37.46253697319934,35.644860928842625,28.111283078354706,1,high traffic,2016
2016-06-08,57.13136363636365,Opfikon_Balsberg,43.04627134964563,40.22603352052421,32.767945494268936,2,high traffic,2016
2016-06-09,39.9775,Opfikon_Balsberg,39.504619560886866,36.18833033804186,30.60354656608704,3,high traffic,2016
2016-06-10,29.48958333333333,Opfikon_Balsberg,29.648792133649078,27.04304982705598,18.86749431806588,4,high traffic,2016
2016-06-11,34.089166666666664,Opfikon_Balsberg,35.21382501567628,37.52596178953813,25.855576947224208,5,high traffic,2016
2016-06-12,31.65227272727273,Opfikon_Balsberg,26.084336783678825,31.241062226767202,16.98429750147877,6,high traffic,2016
2016-06-13,43.93782608695653,Opfikon_Balsberg,33.09734276864909,33.09734276864909,22.12089451953112,0,high traffic,2016
2016-06-14,34.98291666666667,Opfikon_Balsberg,33.571026135339494,31.942165547645327,24.408587697157408,1,high traffic,2016
2016-06-15,32.20875,Opfikon_Balsberg,38.1980293590192,35.69543101499136,28.23734298873608,2,high traffic,2016
2016-06-16,45.424347826086944,Opfikon_Balsberg,39.86311533714308,36.51673151542713,30.931947743472314,3,high traffic,2016
2016-06-17,32.831739130434784,Opfikon_Balsberg,39.00175137813897,35.57400588553584,27.39845037654574,4,high traffic,2016
2016-06-18,31.42875,Opfikon_Balsberg,28.959794311913583,30.861291958427188,19.190907116113266,5,high traffic,2016
2016-06-19,40.79916666666667,Opfikon_Balsberg,26.28358515804025,31.479700874689517,17.222936149401086,6,high traffic,2016
2016-06-20,39.52833333333334,Opfikon_Balsberg,32.393814413987684,32.393814413987684,21.417366164869712,0,high traffic,2016
2016-06-21,41.88045454545454,Opfikon_Balsberg,38.94044477911174,37.051060894559996,29.517483044072076,1,high traffic,2016
2016-06-22,18.150416666666665,Opfikon_Balsberg,24.549151832396255,22.940779155743062,15.482691129487787,2,high traffic,2016
2016-06-23,33.895,Opfikon_Balsberg,36.512121605528485,33.44704322407497,27.86225945212015,3,high traffic,2016
2016-06-24,48.03249999999999,Opfikon_Balsberg,41.16174398976759,37.544163305744924,29.368607796754823,4,high traffic,2016
2016-06-25,36.54318181818181,Opfikon_Balsberg,30.10252651450245,32.079055860841514,20.408671018527592,5,high traffic,2016
2016-06-26,23.79958333333333,Opfikon_Balsberg,27.882092380654132,33.39422390917451,19.13745918388608,6,high traffic,2016
2016-06-27,34.397619047619045,Opfikon_Balsberg,31.440486161852995,31.440486161852995,20.464037912735023,0,high traffic,2016
