,no2_2020,city,no2_2019,pre_lockdown_model,dummy,lockdown_model,weekday,class
4/17,35.24041666666667,Zuerich_Schimmelstrasse,39.92047619047619,47.546766979445316,44.77768969076042,36.175085368951656,4,low traffic
4/18,20.801250000000003,Zuerich_Schimmelstrasse,58.89833333333335,31.047435908758665,35.75592070368265,16.545284802665762,5,low traffic
4/19,12.496666666666664,Zuerich_Schimmelstrasse,37.02458333333333,31.543047439816124,43.2253027844011,21.037491903173084,6,low traffic
4/20,15.512499999999998,Zuerich_Schimmelstrasse,33.79958333333334,42.735916596297514,42.735916596297514,24.81293453876986,0,low traffic
4/21,20.117083333333333,Zuerich_Schimmelstrasse,32.94625,47.21019660540061,45.602319902016205,28.754655704232185,1,low traffic
4/22,24.04625,Zuerich_Schimmelstrasse,34.7,54.8682210324712,51.71929572584287,35.19905957860629,2,low traffic
4/23,36.036666666666655,Zuerich_Schimmelstrasse,45.76458333333335,53.48367568660884,50.84936329363383,44.690367549167505,3,low traffic
4/24,36.2890909090909,Zuerich_Schimmelstrasse,38.69761904761905,37.736014350830295,35.53830571693841,26.935701395129648,4,low traffic
4/25,25.271249999999995,Zuerich_Schimmelstrasse,,46.35629410973664,53.38643684378265,34.17580094276576,5,low traffic
3/16,48.60625,Zuerich_Stampfenbachstrasse,,47.455444817287535,47.455444817287535,36.966297231023134,0,low traffic
3/17,32.615238095238105,Zuerich_Stampfenbachstrasse,,49.103922136114925,46.87865542422459,37.142539922863946,1,low traffic
3/18,37.11,Zuerich_Stampfenbachstrasse,18.760416666666668,49.13747931885226,47.40809798987472,39.36681620175083,2,low traffic
3/19,42.86708333333333,Zuerich_Stampfenbachstrasse,44.80875,53.91382461704005,50.57623133708558,45.16746607989518,3,low traffic
3/20,31.012083333333337,Zuerich_Stampfenbachstrasse,39.920416666666654,54.13728063528088,50.849806762003595,40.23192120714299,4,low traffic
3/21,12.551666666666668,Zuerich_Stampfenbachstrasse,34.472500000000004,25.34289694390066,31.8113815446123,15.134251596028687,5,low traffic
3/22,6.535833333333333,Zuerich_Stampfenbachstrasse,60.83166666666667,16.287859430837784,23.42280692820664,6.85545643864004,6,low traffic
3/23,11.461249999999998,Zuerich_Stampfenbachstrasse,49.93875,27.380777181640294,27.380777181640294,16.891629595375893,0,low traffic
3/24,15.117916666666668,Zuerich_Stampfenbachstrasse,37.73458333333335,31.61017030191087,30.177676589187822,20.441561087827182,1,low traffic
3/25,16.449166666666667,Zuerich_Stampfenbachstrasse,20.47,30.621432634882286,29.54371895075783,21.502437162633946,2,low traffic
3/26,22.71125,Zuerich_Stampfenbachstrasse,25.707916666666666,31.238888388914795,29.305011415788012,23.89624615859761,3,low traffic
3/27,42.98791666666667,Zuerich_Stampfenbachstrasse,35.1175,41.624824294077484,39.097166444611005,28.479280889750395,4,low traffic
3/28,34.1491304347826,Zuerich_Stampfenbachstrasse,27.30208333333334,40.63188512249301,51.00270909713675,34.32557914855314,5,low traffic
3/29,18.629565217391306,Zuerich_Stampfenbachstrasse,32.23208333333333,24.031384014732854,34.55840654720867,17.99105605764207,6,low traffic
3/30,15.432727272727272,Zuerich_Stampfenbachstrasse,43.00625,24.563443767920138,24.563443767920138,14.074296181655736,0,low traffic
3/31,19.58833333333333,Zuerich_Stampfenbachstrasse,34.81695652173913,31.855281875378626,30.411680320320208,20.675564818959568,1,low traffic
4/1,27.340416666666666,Zuerich_Stampfenbachstrasse,38.004166666666656,37.14125859807408,35.834081265320805,27.792799477196915,2,low traffic
4/2,38.821666666666665,Zuerich_Stampfenbachstrasse,37.90857142857143,41.429464846500714,38.86472928106864,33.45596402387824,3,low traffic
4/3,23.610833333333336,Zuerich_Stampfenbachstrasse,14.52,45.93853878369504,43.14893161732562,32.53104606246501,4,low traffic
4/4,17.694166666666664,Zuerich_Stampfenbachstrasse,35.67625,30.575192428112498,38.37916060992053,21.70203066133692,5,low traffic
4/5,18.3375,Zuerich_Stampfenbachstrasse,31.955,25.711913148291583,36.97509669607178,20.40774620650518,6,low traffic
4/6,29.37583333333333,Zuerich_Stampfenbachstrasse,37.78249999999999,38.92552866988599,38.92552866988599,28.43638108362159,0,low traffic
4/7,33.75958333333333,Zuerich_Stampfenbachstrasse,19.69041666666666,38.20692950772537,36.47548719724341,26.73937169588277,1,low traffic
4/8,31.1225,Zuerich_Stampfenbachstrasse,18.312500000000004,37.38829962803866,36.07242774785164,28.031145959727752,2,low traffic
4/9,30.869090909090914,Zuerich_Stampfenbachstrasse,32.55166666666666,43.46974262527588,40.778701470283956,35.36993621309355,3,low traffic
4/10,18.379583333333333,Zuerich_Stampfenbachstrasse,27.97333333333333,41.083040204533894,38.588282068877035,27.970396514016425,4,low traffic
4/11,19.605416666666667,Zuerich_Stampfenbachstrasse,27.647500000000004,30.085116675841483,37.76399862683051,21.086868678246894,5,low traffic
4/12,16.325416666666666,Zuerich_Stampfenbachstrasse,30.41624999999999,26.078975393041972,37.50295169911437,20.93560120954777,6,low traffic
4/13,8.865416666666668,Zuerich_Stampfenbachstrasse,19.25,33.37247139031323,33.37247139031323,22.88332380404883,0,low traffic
4/14,10.31,Zuerich_Stampfenbachstrasse,19.541666666666668,25.141031679570602,24.00170311954134,14.2655876181807,1,low traffic
4/15,19.707619047619048,Zuerich_Stampfenbachstrasse,30.65333333333334,27.56960737434171,26.599301919089427,18.558020130965538,2,low traffic
4/16,31.31249999999999,Zuerich_Stampfenbachstrasse,30.74000000000001,35.55907849340461,33.35775550687974,27.948990249689338,3,low traffic
4/17,23.29208333333333,Zuerich_Stampfenbachstrasse,25.59541666666667,37.32624633604491,35.059618641093955,24.441733086233345,4,low traffic
4/18,12.975,Zuerich_Stampfenbachstrasse,33.098749999999995,24.266084039782477,30.459724462121198,13.782594513537585,5,low traffic
4/19,7.802916666666667,Zuerich_Stampfenbachstrasse,21.825833333333332,19.435396916522656,27.94913300190223,11.38178251233563,6,low traffic
4/20,10.169166666666667,Zuerich_Stampfenbachstrasse,20.544166666666666,21.44135233799225,21.44135233799225,10.952204751727848,0,low traffic
4/21,14.397083333333335,Zuerich_Stampfenbachstrasse,18.341666666666665,23.150434237213293,22.10131456544703,12.36519906408639,1,low traffic
4/22,16.070000000000004,Zuerich_Stampfenbachstrasse,21.33125,26.3416212182681,25.414534429500033,17.373252641376148,2,low traffic
4/23,23.260000000000005,Zuerich_Stampfenbachstrasse,33.13666666666667,34.812092704134855,32.657012676038505,27.248247418848102,3,low traffic
4/24,25.080416666666675,Zuerich_Stampfenbachstrasse,30.84428571428571,29.487795531802707,27.697155953054292,17.07927039819368,4,low traffic
4/25,16.544583333333332,Zuerich_Stampfenbachstrasse,,27.223548049946785,34.172047336655034,17.49491738807142,5,low traffic
